status,id,oldTerm,newTerm,rule,oldPhonetic,newPhonetic,oldMeaning,newMeaning,audioSource,audioUrl,note
updated,P9-819,vitamins,vitamin,-s,ˈvɪtəmɪnz,ˈvɪtəmɪn,n.维生素,n.维生素,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/vit/vitam/vitamin__gb_1.mp3,
updated,P9-1440,peers,peer,-s,pɪəz,pɪə(r),n. 同龄人；同辈；“peer”的复数；,n. 同龄人；同辈,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pee/peer_/peer__gb_1.mp3,
updated,P9-927,bags,bag,-s,bæɡz,bæɡ,n. 包；“bag”的复数；,n. 包,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bag/bag__/bag__gb_2.mp3,
updated,P9-266,photographs,photograph,-s,ˈfəʊtəɡrɑːfs,ˈfəʊtəɡrɑːf,n. 照片；“photograph”的复数；,n. 照片,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/photo/photograph__gb_1.mp3,
updated,P9-1056,reservations,reservation,-s,rezəˈveɪʃ(ə)nz,ˌrezəˈveɪʃn,n. 保留；预订；,n. 保留；预订,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/reser/reservation__gb_2.mp3,
updated,P9-1055,refreshments,refreshment,-s,rɪˈfreʃmənts,rɪˈfreʃmənt,n. 茶点；“refreshment”的复数；,n. 茶点,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ref/refre/refreshment__gb_1.mp3,
updated,P9-1261,achievements,achievement,-s,əˈtʃiːvmənts,əˈtʃiːvmənt,n. 成就；,n. 成就,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3,
updated,P9-397,tourists,tourist,-s,ˈtʊərɪsts,ˈtʊərɪst,n. 旅游者；观光者；“tourist”的复数；,n. 旅游者；观光者,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tou/touri/tourist__gb_1.mp3,
updated,P9-723,prices,price,-s,ˈpraɪsɪz,praɪs,n. 价格；“price”的复数；,n. 价格,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pri/price/price__gb_1.mp3,
updated,P9-271,platforms,platform,-s,ˈplætfɔːmz,ˈplætfɔːm,n. 平台；站台；月台；“platform”的复数；,n. 平台；站台；月台,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/platf/platform__gb_1.mp3,
updated,P9-1463,advisors,advisor,-s,ædˈvaɪzəz,ædˈvaɪzəz,n. 顾问；“advisor”的复数；,n. 顾问,tts_fallback,,
updated,P9-1459,tribes,tribe,-s,traɪbs,traɪb,n. 部落；“tribe”的复数；,n. 部落,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tri/tribe/tribe__gb_1.mp3,
updated,P9-188,locks,lock,-s,lɒks,lɒk,n.锁,n.锁,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loc/lock_/lock__gb_1.mp3,
updated,P9-930,bees,bee,-s,ˈbiːz,biː,n.蜜蜂,n.蜜蜂,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/bee__/bee__gb_2.mp3,
updated,P9-327,sharks,shark,-s,ʃɑːks,ʃɑːk,n. 鲨鱼；“shark”的复数；,n. 鲨鱼,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sha/shark/shark__gb_2.mp3,
updated,P9-579,fireplaces,fireplace,-s,ˈfaɪəpleɪsɪs,ˈfaɪəpleɪs,n. 壁炉；“fireplace”的复数,n. 壁炉,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/firep/fireplace__gb_1.mp3,
updated,P9-525,customers,customer,-s,ˈkʌstəməz,ˈkʌstəmə(r),n. 顾客；客户；“customer”的复数；,n. 顾客；客户,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/custo/customer__gb_3.mp3,
updated,P9-938,cabins,cabin,-s,ˈkæbɪns,ˈkæbɪn,n. 小屋；客舱；“cabin”的复数；,n. 小屋；客舱,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cab/cabin/cabin__gb_2.mp3,
updated,P9-449,writers,writer,-s,ˈraɪtəz,ˈraɪtə(r),n.作者,n.作者,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wri/write/writer__gb_1.mp3,
updated,P9-23,beginners,beginner,-s,bɪˈɡɪnəz,bɪˈɡɪnə(r),n. 初学者；“beginner”的复数；,n. 初学者,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/beg/begin/beginner__gb_1.mp3,
updated,P9-575,females,female,-s,ˈfiːmeɪl,ˈfiːmeɪl,n.女人,n.女人,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fem/femal/female__gb_1.mp3,
updated,P9-1355,laptops,laptop,-s,ˈlæptɒps,ˈlæptɒp,n. 笔记本电脑；“laptop”的复数；,n. 笔记本电脑,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lap/lapto/laptop__gb_1.mp3,
updated,P9-159,insects,insect,-s,ˈɪnsekts,ˈɪnsekt,n. 昆虫；“insect”的复数；,n. 昆虫,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/insec/insect__gb_2.mp3,
updated,P9-1398,resources,resource,-s,rɪˈsɔːsɪz,rɪˈsɔːs,n. 资源；“resource”的复数；,n. 资源,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/resou/resource__gb_1.mp3,
updated,P1-446,cars,car,-s,kɑːz,kɑː(r),n. 汽车；“car”的复数；,n. 汽车,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/car__/car__gb_1.mp3,
updated,P9-642,laboratories,laboratory,-ies -> y,ləˈbɒrətəriz,ləˈbɒrətri,n. 实验室；“laboratory”的复数；,n. 实验室,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lab/labor/laboratory__gb_2.mp3,
updated,P9-910,tutorials,tutorial,-s,tjuːˈtɔːriəls,tjuːˈtɔːriəl,n. 教程；指南；“tutorial”的复数；,n. 教程；指南,oxford,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tut/tutor/tutorial__gb_2.mp3,
